0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53135 31341	10	 * 	288.01	橙4易伤3时间1伤害1等级	1掉矿246时间346a易伤46序列升级5额外掉落7等级8核9伤害
2	23441 32137	1	 * 	288.01	橙4易伤3时间3雷电1等级	19a雷电249a易伤3敌人爆炸5等级6核7加一89a时间9a序列升级
3	26241 32137	3	   	288.01	橙4易伤3时间3雷电1等级	19a雷电249a易伤3敌人爆炸5等级6核7加一89a时间9a序列升级
4	53135 31124	9	 * 	287.49	橙5易伤3时间1等级	1掉矿246时间34689易伤46序列升级5额外掉落7等级a核
5	53135 31342	10	 * 	282.96	橙3易伤3时间2伤害1等级	1掉矿246时间346易伤46序列升级5额外掉落7等级8核9a伤害
6	53136 43232	4	   	282.86	橙3易伤3时间2伤害1等级	1掉矿246时间34a易伤4序列升级5等级7核89伤害
7	11353 63342	2	 * 	282.12	橙3易伤3伤害3时间1卖塔	1卖塔249易伤348时间49序列升级59掉矿69a伤害7核
8	63135 42222	9	   	280.56	橙3易伤3时间2伤害1暴击	19金币生成249时间345易伤49序列升级6基地爆炸7核89伤害a暴击
9	63133 62222	9	   	280.56	橙3易伤3时间2伤害1暴击	19金币生成249时间346易伤49序列升级5基地爆炸7核89伤害a暴击
10	63135 12511	9	 * 	277.98	橙5易伤2时间1伤害	1金币生成24时间3456a易伤4序列升级7核8掉矿9伤害
11	63135 12513	10	   	277.98	橙5易伤2时间1伤害	1金币生成24时间3456a易伤4序列升级7核8掉矿9伤害
12	63135 42223	10	   	277.91	橙3易伤3时间2伤害1攻速	19金币生成249时间345易伤49序列升级6基地爆炸7核89伤害a攻速
13	63133 62223	10	   	277.91	橙3易伤3时间2伤害1攻速	19金币生成249时间346易伤49序列升级5基地爆炸7核89伤害a攻速
14	63135 12513	9	 * 	276.02	橙4易伤2伤害2时间	1金币生成24时间3456易伤4序列升级7核8掉矿9a伤害
15	63135 42222	10	   	275.22	橙3易伤3时间2伤害	19金币生成249时间345易伤49序列升级6基地爆炸7核89伤害a雷电
16	63133 62222	10	   	275.22	橙3易伤3时间2伤害	19金币生成249时间346易伤49序列升级5基地爆炸7核89伤害a雷电
17	53135 31343	10	   	275.03	橙3易伤3时间1伤害1等级1全技能	1掉矿246时间346易伤46序列升级5额外掉落7等级8核9伤害a全技能
18	11353 63341	2	   	274.77	橙3易伤3时间2伤害1卖塔	1卖塔249易伤348时间49序列升级59掉矿69伤害7核a雷电
19	53133 62234	8	   	274.69	橙4易伤2时间1伤害1等级	1掉矿24时间346a易伤4序列升级5低血量敌人7核8伤害9等级
20	63135 12233	7	   	274.16	橙5易伤2时间1等级	1金币生成24时间34569易伤4序列升级7核8赏金邻近a等级
21	63135 12433	7	   	274.16	橙5易伤2时间1等级	1金币生成24时间34569易伤4序列升级7核8赏金塔a等级
22	63135 12613	6	   	274.16	橙5易伤2时间1等级	1金币生成24时间34567易伤4序列升级8赏金塔9核a等级
23	11543 34211	3	 * 	273.92	橙5易伤3攻速1时间1卖塔	1卖塔24789易伤34a攻速4序列升级5时间6核
24	22462 11153	8	 * 	273.54	橙3伤害3时间1易伤3雷电2全技能1暴击	179雷电2暴击379伤害48全技能579时间6核79序列升级a易伤
25	63135 12214	8	   	272.19	橙4易伤2时间1伤害1暴击	18金币生成24时间3456易伤4序列升级7核9伤害a暴击
26	63135 12225	8	   	272.19	橙4易伤2时间1伤害1暴击	18金币生成24时间3456易伤4序列升级7核9暴击a伤害
27	53135 32341	10	   	271.76	橙4易伤3时间1伤害	1掉矿246时间346a易伤46序列升级5额外掉落7策反8核9伤害
28	53135 33341	10	   	271.76	橙4易伤3时间1伤害	1掉矿246时间346a易伤46序列升级5额外掉落7随机矿8核9伤害
29	23442 32137	1	   	271.76	橙4易伤3时间3雷电	19a雷电249a易伤3敌人爆炸5金币生成6核7加一89a时间9a序列升级
30	26242 32137	3	   	271.76	橙4易伤3时间3雷电	19a雷电249a易伤3敌人爆炸5金币生成6核7加一89a时间9a序列升级
31	53133 21436	7	   	271.66	橙4易伤3时间1伤害	1掉矿246时间347a易伤4序列升级5低血量敌人8核9伤害
32	12361 42126	1	 * 	271.52	橙4易伤3时间2暴击1卖塔	1卖塔238时间48暴击5立即金币678a易伤8序列升级9核
33	63135 12315	7	   	271.34	橙5易伤3时间	1a金币生成24a时间3456a易伤4a序列升级7核8额外掉落9赏金塔
34	63135 12324	7	   	271.34	橙5易伤3时间	1a金币生成249时间3456a易伤4a序列升级7核8额外掉落
35	63131 12155	6	   	271.34	橙5易伤3时间	158金币生成248时间34678易伤48序列升级9掉矿a核
36	63131 15613	6	   	271.34	橙5易伤3时间	157金币生成247时间3467a易伤47序列升级8赏金邻近9核
37	63135 12152	9	   	271.24	橙5易伤3时间	1金币生成249时间3456a易伤4序列升级7核8敌人爆炸
38	63135 12322	7	   	271.24	橙5易伤3时间	1金币生成249时间3456a易伤4序列升级7核8额外掉落
39	53135 32122	9	   	271.24	橙5易伤3时间	1掉矿246时间34689易伤46序列升级5额外掉落7策反a核
40	53135 33124	9	   	271.24	橙5易伤3时间	1掉矿246时间34689易伤46序列升级5额外掉落7随机矿a核
41	53135 35122	9	   	271.14	橙5易伤3时间1核弹	1掉矿246时间34689易伤46序列升级5额外掉落7核弹a核
42	53136 43233	4	   	269.60	橙2易伤3时间2伤害1等级1暴击	1掉矿246时间34易伤4序列升级5等级7核89伤害a暴击
43	63135 12212	8	   	269.54	橙4易伤2时间1伤害1攻速	18金币生成24时间3456易伤4序列升级7核9伤害a攻速
44	63135 12262	9	   	269.54	橙4易伤2时间1伤害1攻速	18金币生成24时间3456易伤4序列升级7核9攻速a伤害
45	63135 12612	7	   	269.54	橙4易伤2时间1伤害1攻速	1金币生成24时间3456易伤4序列升级7核8立即金币9伤害a攻速
46	16312 21112	9	   	269.04	橙5易伤1时间2雷电1攻速1卖塔	1卖塔26雷电34569易伤6序列升级7攻速8核a时间
47	16312 21116	10	   	269.04	橙5易伤1时间2雷电1攻速1卖塔	1卖塔26雷电34569易伤6序列升级7攻速8核a时间
