0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22222 22372	9	 * 	266.61	橙3易伤3时间2伤害	1随机矿279挖尘3加一47伤害579时间6核79序列升级89a易伤
2	46323 26122	1	   	263.18	橙3易伤3时间1等级1全技能	19挖尘2全技能389易伤4等级5雷电679时间9序列升级a核
3	44112 36213	10	 * 	258.17	橙3易伤3伤害2暴击	1a挖尘257伤害3双倍矿4a暴击68a易伤9核a序列升级
4	44312 36213	10	   	258.17	橙3易伤3伤害2暴击	1a挖尘257伤害3立即金币4a暴击68a易伤9核a序列升级
5	32412 26261	10	   	257.44	橙2易伤3伤害1等级1时间1暴击	1矿等257伤害3等级4暴击6时间89易伤a核
6	46342 13231	1	 * 	256.60	橙5易伤1伤害1核弹1全技能	145挖尘2全技能3458a易伤458序列升级6核弹7核9伤害
7	22222 22354	8	 * 	255.35	橙2易伤3伤害3时间	1随机矿27a挖尘3加一479伤害57a时间6核7a序列升级8a易伤
8	22222 22373	9	   	253.35	橙2易伤3时间2伤害1暴击	1随机矿279挖尘3加一47伤害579时间6核79序列升级89易伤a暴击
9	22213 31288	1	 * 	251.50	橙4易伤3时间	1随机矿248时间3赏金塔589a易伤6核7加一8序列升级
10	22423 31288	1	   	251.50	橙4易伤3时间	1随机矿238时间4赏金塔589a易伤6核7加一8序列升级
11	22222 22371	10	   	250.70	橙2易伤3时间2伤害1攻速	1随机矿279挖尘3加一47伤害579时间6核79序列升级89易伤a攻速
12	21623 31244	1	 * 	249.02	橙3易伤3时间2等级	1随机矿2立即金币38a时间4赏金塔58a易伤6核7加一8a序列升级9a等级
13	22233 31244	1	   	249.02	橙3易伤3时间2等级	1随机矿28a时间3赏金塔4立即金币58a易伤6核7加一8a序列升级9a等级
14	52215 15213	10	   	248.92	橙3易伤3时间1伤害1核弹	1a掉矿2伤害3平台47a易伤58a时间6核弹9核a序列升级
15	22213 31284	1	   	248.92	橙3易伤3时间1伤害	1随机矿248时间3赏金塔589易伤6核7加一8序列升级a伤害
16	22213 31464	1	   	248.92	橙3易伤3时间2等级	1随机矿24a时间3赏金塔59a易伤6核7加一8a等级a序列升级
17	22423 31284	1	   	248.92	橙3易伤3时间1伤害	1随机矿238时间4赏金塔589易伤6核7加一8序列升级a伤害
18	22423 31464	1	   	248.92	橙3易伤3时间2等级	1随机矿23a时间4赏金塔59a易伤6核7加一8a等级a序列升级
19	22222 22373	10	   	248.01	橙2易伤3时间2伤害	1随机矿279挖尘3加一47伤害579时间6核79序列升级89易伤a雷电
20	32144 33613	1	 * 	247.67	橙4易伤1伤害2暴击	1矿等24暴击34金币生成4序列升级589a易伤6核7伤害
21	52144 33213	1	   	247.57	橙4易伤1伤害2暴击	1掉矿24暴击34金币生成4序列升级589a易伤6核7伤害
22	46333 26122	1	   	246.93	橙3易伤3时间1全技能	19挖尘2全技能389易伤4雷电5金币生成679时间9序列升级a核
23	52235 21136	2	   	246.61	橙3易伤3伤害	189掉矿289伤害36金币生成4雷电589易伤7平台89序列升级a核
24	53235 21136	1	   	246.61	橙3易伤3伤害	189掉矿289伤害36金币生成4雷电589易伤7平台89序列升级a核
25	52623 34137	6	   	246.27	橙3易伤3伤害1卖塔	189掉矿289伤害3卖塔4矿等5雷电6加一789易伤89序列升级a核
26	32413 13635	6	 * 	245.50	橙2易伤2伤害3雷电1等级1暴击	1矿等29伤害3等级4暴击589雷电6挖尘79易伤9序列升级a核
27	54121 13363	1	 * 	244.55	橙4易伤3暴击1攻速	1掉矿2478易伤346暴击4序列升级5攻速9核a敌人爆炸
28	54121 13362	1	   	244.45	橙4易伤3暴击1攻速	1a掉矿2478易伤346暴击4序列升级5攻速9核
29	52212 23213	10	 * 	243.76	橙3易伤2伤害2攻速	1a掉矿2a伤害3平台456易伤7敌人爆炸8a攻速9核a序列升级
30	52144 31213	1	   	243.75	橙4易伤2暴击1等级	1掉矿24暴击34金币生成4序列升级589a易伤6核7等级
31	52212 21213	10	   	243.66	橙3易伤2伤害2攻速	1a掉矿2a伤害3平台456易伤7挖尘8a攻速9核a序列升级
32	52212 21626	6	   	243.65	橙4易伤1伤害1等级	1掉矿2伤害3平台4568易伤7等级9赏金塔a核
33	52422 35233	5	   	242.82	橙2易伤2伤害2时间1等级	1掉矿28伤害3等级4金币生成58时间6矿等78易伤8序列升级9核a敌人爆炸
34	31214 88824	10	   	242.81	橙3易伤3时间1暴击	17矿等25基地爆炸3加一457时间57序列升级67a易伤8核9暴击
35	52422 35232	5	   	242.72	橙2易伤2伤害2时间1等级	1a掉矿28伤害3等级4金币生成58时间6矿等78易伤8序列升级9核
36	22222 22621	9	   	242.62	橙2易伤2伤害2时间1等级	1随机矿27挖尘3加一47伤害57时间6核7序列升级8等级9a易伤
37	22222 22625	10	   	242.62	橙2易伤2伤害2时间1等级	1随机矿27挖尘3加一47伤害57时间6核7序列升级8等级9a易伤
38	32144 33513	1	   	242.61	橙3易伤2伤害2暴击	1矿等24暴击34金币生成4序列升级59a易伤6核78伤害
39	52335 22271	1	   	242.51	橙3易伤3时间1暴击	1a掉矿2暴击38a时间4加一5额外掉落67a易伤9核a序列升级
40	22222 22356	8	   	242.03	橙2易伤3伤害2时间	1随机矿27挖尘3加一479伤害57时间6核7序列升级8a易伤
41	22223 52554	5	   	242.03	橙2易伤3伤害2时间	1随机矿2a挖尘3加一459伤害6a易伤7a时间8核a序列升级
42	22223 82554	6	   	242.03	橙2易伤3伤害2时间	1随机矿2a挖尘3加一459伤害6a易伤7a时间8核a序列升级
43	44211 13423	2	   	241.93	橙2易伤3伤害2时间	1挖尘257伤害3赏金塔45时间5序列升级69易伤8赏金邻近a核
44	21212 21663	10	 * 	241.25	紫3易伤2伤害2时间2等级	1随机矿2核3平台4a伤害579易伤6a时间8a等级a序列升级
