0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32215 36332	7	 * 	313.09	橙4易伤3伤害2时间2攻速	18时间259a易伤378伤害48攻速6核8序列升级
2	32215 32332	7	 * 	306.96	橙4易伤2伤害3攻速2时间	18时间259a易伤38伤害478攻速6核8序列升级
3	36312 36331	7	 * 	305.10	橙4易伤3伤害3时间	138时间278伤害4随机矿589a易伤6核8序列升级
4	36342 32331	7	 * 	302.60	橙4易伤3时间3攻速1伤害	138时间2伤害489a易伤578攻速6核8序列升级
5	32212 31331	6	 * 	297.54	橙3易伤3时间2伤害3攻速	178时间29a易伤38伤害458攻速6核8序列升级
6	32215 31311	6	   	297.54	橙3易伤3时间2伤害3攻速	178时间25a易伤38伤害489攻速6核8序列升级
7	36342 36311	7	   	297.54	橙3易伤3时间2伤害3攻速	138时间27伤害48a易伤589攻速6核8序列升级
8	32215 36343	7	   	293.44	橙2易伤3伤害2时间2攻速1等级1暴击	18时间25易伤378伤害48攻速6核8序列升级9等级a暴击
9	36151 51312	8	   	292.62	橙3易伤3时间2伤害1等级	189时间28伤害3等级4全技能5掉矿68a易伤7核8序列升级
10	32215 36351	10	 * 	291.98	橙5易伤2伤害1时间1攻速	1时间2589a易伤37伤害4攻速6核
11	36422 36332	7	   	291.78	橙4易伤3伤害2时间1核弹	18时间278伤害3核弹4立即金币589a易伤6核8序列升级
12	32115 21616	9	 * 	291.40	橙5易伤3时间1伤害	147时间2567a易伤37低血量敌人7序列升级8伤害9核
13	36312 36336	7	   	290.77	橙3易伤3伤害3时间	138时间278伤害4随机矿589易伤6核8序列升级a雷电
14	32214 36332	7	   	290.45	橙3易伤3伤害2时间2攻速	18时间29a易伤378伤害48攻速5立即金币6核8序列升级
15	32215 36331	7	   	290.45	橙3易伤3伤害2时间2攻速	18时间259易伤378伤害48攻速6核8序列升级a金币生成
16	32215 36333	7	   	290.45	橙3易伤3伤害2时间2攻速	18时间259易伤378伤害48攻速6核8序列升级a平台
17	32215 36335	7	   	290.45	橙3易伤3伤害2时间2攻速	18时间259易伤378伤害48攻速6核8序列升级a基地爆炸
18	32215 36336	7	   	290.35	橙3易伤3伤害2时间2攻速	18时间259易伤378伤害48攻速6核8序列升级a挖青
19	32115 21621	9	   	289.45	橙4易伤3时间2伤害	147时间2567易伤37低血量敌人7序列升级89伤害a核
20	32115 21631	8	   	289.45	橙4易伤3时间2伤害	147时间2567易伤37低血量敌人7序列升级89伤害a核
21	36342 32336	7	   	288.26	橙3易伤3时间3攻速1伤害	138时间2伤害489易伤578攻速6核8序列升级a雷电
22	32215 31345	6	   	288.02	橙3易伤3时间2伤害2攻速	178时间25a易伤38伤害48攻速6核8序列升级9低血量敌人
23	32215 31365	6	   	288.02	橙3易伤3时间2伤害2攻速	178时间25a易伤38伤害48攻速6核8序列升级9基地爆炸
24	36312 32245	10	   	288.02	橙3易伤3时间2伤害2攻速	13a时间28伤害4随机矿59a易伤6核7a攻速a序列升级
25	32215 32343	7	   	287.31	橙2易伤2伤害3攻速2时间1等级1暴击	18时间25易伤38伤害478攻速6核8序列升级9等级a暴击
26	32215 36251	10	   	287.03	橙4易伤2伤害2时间1攻速	18时间259a易伤37伤害4攻速6核
27	32215 36311	10	   	287.03	橙4易伤2伤害2时间1攻速	19时间258a易伤37伤害4攻速6核
28	32215 36352	9	   	287.03	橙4易伤2伤害2时间1攻速	1a时间2589易伤37伤害4攻速6核
29	61625 22332	7	   	286.63	橙3易伤3时间2伤害2等级1卖塔	1卖塔2a等级35伤害45a易伤5a序列升级6平台7核89a时间
30	32215 36351	9	   	286.09	橙4易伤2伤害1时间1暴击1攻速	1时间2589易伤37伤害4攻速6核a暴击
31	32215 32351	10	 * 	284.60	橙5易伤2攻速1伤害1时间	1时间2589a易伤3伤害47攻速6核
32	32212 32222	7	   	284.32	橙3易伤2伤害3攻速2时间	19时间29a易伤39伤害457攻速6核8平台9序列升级
33	32212 32332	6	   	284.32	橙3易伤2伤害3攻速2时间	18时间29a易伤38伤害458攻速6核7双倍矿8序列升级
34	32214 32332	7	   	284.32	橙3易伤2伤害3攻速2时间	18时间29a易伤38伤害478攻速5立即金币6核8序列升级
35	32215 32331	7	   	284.32	橙3易伤2伤害3攻速2时间	18时间259易伤38伤害478攻速6核8序列升级a金币生成
36	32215 32333	7	   	284.32	橙3易伤2伤害3攻速2时间	18时间259易伤38伤害478攻速6核8序列升级a平台
37	32215 32335	7	   	284.32	橙3易伤2伤害3攻速2时间	18时间259易伤38伤害478攻速6核8序列升级a基地爆炸
38	32215 32336	7	   	284.22	橙3易伤2伤害3攻速2时间	18时间259易伤38伤害478攻速6核8序列升级a挖青
39	32215 32365	7	   	284.22	橙3易伤2伤害3攻速2时间	18时间25a易伤38伤害478攻速6核8序列升级9赏金邻近
