0	Index      	 *	Score 	Summary	Detail	
1	32133 63245	 * 	246.42	橙2散射对甲2易伤1双倍秒伤2伤害1全技能1暴击1技能	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9技能a暴击
2	35127 38144	 * 	244.99	橙3伤害3攻速2易伤1暴击1策反	17a伤害278攻速3暴击4加一5策反67易伤7序列升级9核
3	32133 63241	   	243.82	橙2散射对甲2易伤1双倍秒伤2伤害1全技能1技能	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9技能a挖尘
4	32133 63242	   	243.82	橙2散射对甲2易伤1双倍秒伤2伤害1全技能1技能1策反	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9技能a策反
5	32133 63243	   	243.82	橙2散射对甲2易伤1双倍秒伤2伤害1全技能1技能1挖怪	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9技能a挖怪
6	32133 63244	   	243.82	橙2散射对甲2易伤1双倍秒伤2伤害1全技能1技能	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9技能a雷电
7	32133 63212	   	239.64	橙2散射对甲2易伤1双倍秒伤2伤害1全技能1暴击	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9电球减费a暴击
8	32133 63223	   	239.64	橙2散射对甲2易伤1双倍秒伤2伤害1全技能1暴击	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9基地爆炸a暴击
9	32133 63235	   	239.64	橙2散射对甲2易伤1双倍秒伤2伤害1全技能1暴击	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9技能点a暴击
10	32133 63262	   	239.64	橙2散射对甲2易伤1双倍秒伤2伤害1全技能1暴击	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9立即金币a暴击
11	35122 31485	 * 	239.57	橙3易伤3伤害2攻速1暴击	16a伤害2a攻速3暴击4加一5低血量敌人78a易伤9核a序列升级
12	32133 63255	   	239.54	橙2散射对甲2易伤1双倍秒伤2伤害1全技能1暴击	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9掉矿a暴击
13	42133 63212	 * 	236.28	橙2散射对甲2易伤1双倍秒伤2攻速1全技能1暴击	18攻速2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9电球减费a暴击
14	42133 63223	   	236.28	橙2散射对甲2易伤1双倍秒伤2攻速1全技能1暴击	18攻速2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9基地爆炸a暴击
15	42133 63235	   	236.28	橙2散射对甲2易伤1双倍秒伤2攻速1全技能1暴击	18攻速2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9技能点a暴击
16	42133 63262	   	236.28	橙2散射对甲2易伤1双倍秒伤2攻速1全技能1暴击	18攻速2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9立即金币a暴击
17	35127 38233	   	236.25	橙3易伤2伤害2攻速1暴击1策反	17伤害27攻速3暴击4加一5策反67a易伤7序列升级8核9随机矿
18	21126 48254	 * 	234.23	橙2易伤2伤害1双倍秒伤2攻速2暴击1技能	1技能29伤害34暴击5加一69易伤79攻速8核9序列升级a双倍秒伤
19	32133 63226	   	233.73	橙2散射对甲2易伤1双倍秒伤2伤害1全技能1策反	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9基地爆炸a策反
20	32133 63232	   	233.73	橙2散射对甲2易伤1双倍秒伤2伤害1全技能1策反	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9技能点a策反
21	32133 63252	   	233.63	橙2散射对甲2易伤1双倍秒伤2伤害1全技能1策反	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9掉矿a策反
22	32661 11122	 * 	231.78	橙2易伤2全技能2伤害2攻速	17伤害23全技能4雷电57攻速67低血量敌人7序列升级8核9a易伤
23	32133 63211	   	231.70	橙2散射对甲2易伤1双倍秒伤2伤害1全技能1时间	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9电球减费a时间
24	32133 63261	   	231.70	橙2散射对甲2易伤1双倍秒伤2伤害1全技能1时间	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9立即金币a时间
25	35127 38243	   	231.34	橙3攻速2易伤2伤害1暴击1策反	17伤害27a攻速3暴击4加一5策反67易伤7序列升级8核9金币生成
26	21126 48252	 * 	231.06	橙3伤害2易伤2攻速2暴击1技能	1技能29a伤害34暴击5加一69易伤79攻速8核9序列升级
27	42133 63226	   	230.36	橙2散射对甲2易伤1双倍秒伤2攻速1全技能1策反	18攻速2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9基地爆炸a策反
28	42133 63232	   	230.36	橙2散射对甲2易伤1双倍秒伤2攻速1全技能1策反	18攻速2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9技能点a策反
29	42133 63252	   	230.26	橙2散射对甲2易伤1双倍秒伤2攻速1全技能1策反	18攻速2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9掉矿a策反
30	35127 38142	   	229.34	橙3攻速2易伤2伤害1暴击1策反	17伤害278攻速3暴击4加一5策反67易伤7序列升级9核a最后敌人
31	35127 38141	   	229.24	橙3攻速2易伤2伤害1暴击1策反	17伤害278攻速3暴击4加一5策反67易伤7序列升级9核a挖尘
32	35127 38143	   	229.24	橙3攻速2易伤2伤害1暴击1策反1挖怪	17伤害278攻速3暴击4加一5策反67易伤7序列升级9核a挖怪
33	42133 63211	   	228.33	橙2散射对甲2易伤1双倍秒伤2攻速1全技能1时间	18攻速2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9电球减费a时间
34	42133 63261	   	228.33	橙2散射对甲2易伤1双倍秒伤2攻速1全技能1时间	18攻速2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9立即金币a时间
35	42133 63613	 * 	228.11	橙1散射对甲2伤害1双倍秒伤1易伤1全技能1攻速1暴击	1攻速2全技能3等级4易伤5散射对甲6双倍秒伤7核8a伤害9暴击
36	35127 38234	   	226.72	橙2易伤2伤害2攻速1暴击1策反1时间	17伤害27攻速3暴击4加一5策反67易伤7序列升级8核9随机矿a时间
37	35127 38214	   	226.48	橙2易伤2伤害2攻速1暴击1策反1时间1卖塔	17伤害27攻速3暴击4加一5策反67易伤7序列升级8核9卖塔a时间
38	35127 38211	   	225.60	橙2易伤2伤害2攻速2暴击1策反1卖塔	17伤害27攻速3a暴击4加一5策反67易伤7序列升级8核9卖塔
39	42133 63612	 * 	224.74	橙1散射对甲1双倍秒伤2攻速1易伤1全技能1伤害1暴击	1a攻速2全技能3等级4易伤5散射对甲6双倍秒伤7核8伤害9暴击
40	35124 23532	 * 	223.63	橙3伤害2易伤1双倍秒伤2攻速1暴击	15a伤害2a攻速3暴击4加一6雷电7双倍秒伤8核9a易伤a序列升级
41	32133 63213	   	223.39	橙2散射对甲2易伤1双倍秒伤2伤害1全技能	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9电球减费a立即金币
42	32133 63214	   	223.39	橙2散射对甲2易伤1双倍秒伤2伤害1全技能	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9电球减费a金币生成
43	32133 63221	   	223.39	橙2散射对甲2易伤1双倍秒伤2伤害1全技能	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9基地爆炸a立即金币
