0	Index      	 *	Score 	Summary	Detail	
1	11222 34241	 * 	247.84	橙3易伤2攻速2暴击1全技能1核弹1时间	19攻速249易伤3时间5全技能6掉矿79暴击8核9序列升级a核弹
2	11222 34245	 * 	247.84	橙3易伤2攻速2暴击1全技能1伤害1时间	19攻速249易伤3时间5全技能6掉矿79暴击8核9序列升级a伤害
3	11141 35111	 * 	245.93	橙2散射对甲3易伤2伤害2攻速	19攻速246易伤39伤害5技能点7电球减费89散射对甲9序列升级a核
4	11144 35111	   	245.93	橙2散射对甲3易伤2伤害2攻速	19攻速246易伤39伤害5矿等7电球减费89散射对甲9序列升级a核
5	11222 41414	 * 	238.99	橙3易伤1散射对甲1全技能1攻速1伤害1时间	1攻速247易伤3时间5全技能6散射对甲8核9电球减费a伤害
6	11122 23153	 * 	237.19	橙2易伤2伤害1双倍秒伤2攻速1全技能2暴击1技能	18攻速2a易伤38伤害4双倍秒伤58暴击6全技能7技能8序列升级9核
7	11222 34244	   	234.55	橙3易伤2攻速1全技能2暴击1技能1时间	19攻速249易伤3时间5全技能6掉矿79暴击8核9序列升级a技能
8	11152 16152	 * 	233.46	橙3易伤2伤害1全技能1攻速1策反	1攻速289易伤3a伤害4策反5全技能6核7基地爆炸
9	11152 12652	   	233.36	橙3易伤2伤害1全技能1攻速1策反	1攻速279易伤3a伤害4策反5全技能6核8挖尘
10	11152 16151	 * 	231.94	橙3易伤2全技能1攻速1伤害1策反	1攻速289易伤3伤害4策反5a全技能6核7基地爆炸
11	11152 12335	   	231.87	橙2易伤2伤害1全技能1攻速1暴击1策反	1攻速27易伤3a伤害4策反5全技能6核8技能点9暴击
12	11152 12535	   	231.87	橙2易伤2伤害1全技能1攻速1暴击1策反	1攻速27易伤3a伤害4策反5全技能6核8金币生成9暴击
13	11152 13235	   	231.87	橙2易伤2伤害1全技能1攻速1暴击1策反	1攻速28易伤3a伤害4策反5全技能6核7金币生成9暴击
14	11152 12651	   	231.84	橙3易伤2全技能1攻速1伤害1策反	1攻速279易伤3伤害4策反5a全技能6核8挖尘
15	11225 42353	 * 	231.82	橙4易伤2伤害2攻速1时间	1a攻速246a易伤3时间5掉矿7随机矿8a伤害9核a序列升级
16	11152 12266	   	231.08	橙2易伤1双倍秒伤2攻速1全技能1伤害1策反	19攻速27易伤3伤害4策反5全技能6核8电球减费a双倍秒伤
17	11461 51321	 * 	230.37	橙3攻速2易伤1双倍秒伤2伤害	139攻速29易伤4立即金币5掉矿6核7等级89伤害9序列升级a双倍秒伤
18	11152 12261	   	230.09	橙3易伤2攻速1全技能1伤害1策反	19攻速27a易伤3伤害4策反5全技能6核8电球减费
19	11122 23154	 * 	229.73	橙3攻速2伤害1双倍秒伤1易伤1全技能2暴击1技能	18a攻速2易伤38伤害4双倍秒伤58暴击6全技能7技能8序列升级9核
20	11141 31252	 * 	227.80	橙4易伤2攻速1全技能1伤害	18攻速2468易伤3伤害5技能点78金币生成8序列升级9全技能a核
21	11144 31232	   	227.80	橙4易伤2攻速1全技能1伤害	18攻速2468易伤3伤害5矿等78金币生成8序列升级9全技能a核
22	11222 34246	   	227.78	橙3易伤2攻速1全技能2暴击1时间	19攻速249易伤3时间5全技能6掉矿79暴击8核9序列升级a最后敌人
23	11222 34242	   	227.68	橙3易伤2攻速1全技能2暴击1时间1挖怪	19攻速249易伤3时间5全技能6掉矿79暴击8核9序列升级a挖怪
24	11222 34243	   	227.68	橙3易伤2攻速1全技能2暴击1时间	19攻速249易伤3时间5全技能6a掉矿79暴击8核9序列升级
25	11141 32252	   	227.60	橙4易伤2攻速1全技能1伤害	18攻速2468易伤3伤害5技能点78等级8序列升级9全技能a核
26	11144 32232	   	227.60	橙4易伤2攻速1全技能1伤害	18攻速2468易伤3伤害5矿等78等级8序列升级9全技能a核
27	11411 51321	   	227.48	橙3攻速2易伤1双倍秒伤2伤害	139攻速29易伤4双倍矿5掉矿6核7等级89伤害9序列升级a双倍秒伤
28	12321 51321	   	227.48	橙3攻速2易伤1双倍秒伤2伤害	139攻速2电球减费49易伤5掉矿6核7等级89伤害9序列升级a双倍秒伤
29	13321 51321	   	227.48	橙3攻速2易伤1双倍秒伤2伤害	139攻速2双倍矿49易伤5掉矿6核7等级89伤害9序列升级a双倍秒伤
30	11152 11325	 * 	227.05	橙3伤害1易伤1全技能1攻速1核弹1暴击1策反	1攻速2易伤39a伤害4策反5全技能6核7核弹8暴击
31	11552 11325	   	227.05	橙3伤害1易伤1全技能1攻速1核弹1暴击1策反	1攻速2易伤3核弹4策反5全技能6核79a伤害8暴击
